code,name,level,group_code,group_name,qualification
"15.02.2013","Техническое обслуживание и ремонт систем вентиляции и кондиционирования","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник"
"15.02.2014","Оснащение средствами автоматизации технологических процессов и производств (по отраслям)","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник"
"15.02.2015","Технология металлообрабатывающего производства","college","15.00.00","МАШИНОСТРОЕНИЕ","Техник-технолог"
"18.02.2001","Аналитический контроль качества химических соединений","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник; Старший техник"
"18.02.2002","Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ",""
"18.02.2003","Химическая технология неорганических веществ","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"18.02.2004","Электрохимическое производство","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник; Специалист электрохимического производства"
"18.02.2005","Производство тугоплавких неметаллических и силикатных материалов и изделий","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник; Специалист производства тугоплавких неметаллических и силикатных материалов и изделий"
"18.02.2006","Химическая технология органических веществ","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"18.02.2007","Технология производства и переработки пластических масс и эластомеров","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Старший техник-технолог"
"18.02.2008","Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ",""
"18.02.2009","Переработка нефти и газа","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Специалист; по переработке нефти и газа"
"18.02.2010","Коксохимическое производство","college","18.00.00","ХИМИЧЕСКИЕ ТЕХНОЛОГИИ","Техник-технолог; Специалист коксохимического производства"
