code,name,level,group_code,group_name,qualification
"52.05.04","Литературное творчество","specialist","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО","Литературный работник.; Литературный работник, переводчик художественной литературы"
"52.05.05","Актерское искусство в музыкальном театре","specialist","52.00.00","СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО","Артист-вокалист"
"53.05.01","Искусство концертного исполнительства","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Концертный исполнитель.; Преподаватель"
"53.05.02","Художественное руководство оперно-симфоническим оркестром и академическим хором","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Дирижер оперно-симфонического оркестра.; Преподаватель; Дирижер академического хора.; Преподаватель"
"53.05.03","Музыкальная звукорежиссура","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Музыкальный звукорежиссер.; Преподаватель"
"53.05.04","Музыкально-театральное искусство","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Солист-вокалист. Преподаватель"
"53.05.05","Музыковедение","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Музыковед. Преподаватель"
"53.05.06","Композиция","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Композитор. Преподаватель"
"53.05.07","Дирижирование военным духовым оркестром","specialist","53.00.00","МУЗЫКАЛЬНОЕ ИСКУССТВО","Дирижер военного духового оркестра"
"54.05.01","Монументально-декоративное искусство","specialist","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ","Художник монументально-декоративного искусства (живопись).; Художник монументально-декоративного искусства (скульптура).; Художник-проектировщик интерьера"
"54.05.02","Живопись","specialist","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ","Художник-живописец (станковая живопись).; Художник-живописец (монументальная живопись).; Художник-живописец (театрально-декорационная живопись).; Художник-живописец (церковно-историческая живопись).; Художник-реставратор (станковая масляная живопись).; Художник-реставратор (темперная живопись).; Художник-реставратор (монументально-декоративная живопись).; Художник кино и телевидения.; Художник комбинированных съемок.; Художник кино и телевидения по костюму"
"54.05.03","Графика","specialist","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ","Художник-график (станковая графика).; Художник-график (искусство книги).; Художник-график (искусство графики и плаката).; Художник-график (оформление печатной продукции).; Художник анимации и компьютерной графики.; Художник мультипликационного фильма"
"54.05.04","Скульптура","specialist","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ","Художник-скульптор.; Художник-скульптор (медальерное искусство).; Художник-скульптор (реставрация скульптуры)"
"54.05.05","Живопись и изящные искусства","specialist","54.00.00","ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ","Художник"
"55.05.01","Режиссура кино и телевидения","specialist","55.00.00","ЭКРАННЫЕ ИСКУССТВА","Режиссер игрового кино- и телефильма.; Режиссер неигрового кино- и телефильма.; Режиссер анимации и компьютерной графики.; Режиссер телевизионных программ.; Режиссер мультимедиа.; Режиссер интернет-программ"
"55.05.02","Звукорежиссура аудиовизуальных искусств","specialist","55.00.00","ЭКРАННЫЕ ИСКУССТВА","Звукорежиссер аудиовизуальных искусств"
"55.05.03","Кинооператорство","specialist","55.00.00","ЭКРАННЫЕ ИСКУССТВА","Кинооператор. Телеоператор"
"55.05.04","Продюсерство","specialist","55.00.00","ЭКРАННЫЕ ИСКУССТВА","Продюсер кино и телевидения.; Линейный продюсер.; Продюсер телевизионных и радиопрограмм.; Продюсер мультимедиа.; Продюсер исполнительских искусств.; Продюсер дистрибьюции"
"55.05.05","Киноведение","specialist","55.00.00","ЭКРАННЫЕ ИСКУССТВА","Киновед"
