Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
15.02.2009	Аддитивные технологии	Техник-технолог	
15.02.2010	Мехатроника и мобильная робототехника (по отраслям)	Техник-мехатроник	
		Специалист по мобильной робототехнике	
15.02.2011	Техническая эксплуатация и обслуживание роботизированного производства	Старший техник	
15.02.2012	"Монтаж, техническое обслуживание и ремонт промышленного оборудования (по отраслям)"	Техник-механик	
15.02.2013	Техническое обслуживание и ремонт систем вентиляции и кондиционирования	Техник	
15.02.2014	Оснащение средствами автоматизации технологических процессов и производств (по отраслям)	Техник	
15.02.2015	Технология металлообрабатывающего производства	Техник-технолог	
18.00.00	ХИМИЧЕСКИЕ ТЕХНОЛОГИИ		
18.02.2001	Аналитический контроль качества химических соединений	Техник	
		Старший техник	
18.02.2002	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
18.02.2003	Химическая технология неорганических веществ	Техник-технолог	
		Старший техник-технолог	
18.02.2004	Электрохимическое производство	Техник	
		Специалист электрохимического производства	
18.02.2005	Производство тугоплавких неметаллических и силикатных материалов и изделий	Техник	
		Специалист производства тугоплавких неметаллических и силикатных материалов и изделий	
18.02.2006	Химическая технология органических веществ	Техник-технолог	
		Старший техник-технолог	
18.02.2007	Технология производства и переработки пластических масс и эластомеров	Техник-технолог	
		Старший техник-технолог	
18.02.2008	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
18.02.2009	Переработка нефти и газа	Техник-технолог	
		Специалист	
		по переработке нефти и газа	
18.02.2010	Коксохимическое производство	Техник-технолог	
		Специалист коксохимического производства	
18.02.2011	Технология пиротехнических составов и изделий	Техник-технолог	
		Старший техник-технолог	
18.02.2012	Технология аналитического контроля химических соединений	Техник	
18.02.2013	Технология производства изделий из полимерных композитов	Техник-технолог	
19.00.00	ПРОМЫШЛЕННАЯ ЭКОЛОГИЯ И БИОТЕХНОЛОГИИ		
19.02.2001	Биохимическое производство	Техник-технолог	
		Специалист биохимического производства	
19.02.2002	Технология хранения и переработки зерна	Техник-технолог	
		Старший техник-технолог	
19.02.2003	"Технология хлеба, кондитерских и макаронных изделий"	Техник-технолог	
		Старший техник-технолог	
19.02.2004	Технология сахаристых продуктов	Техник-технолог	
		Старший техник-технолог	
19.02.2005	Технология бродильных производств и виноделие	Техник-технолог	
		Старший техник-технолог	
19.02.2006	Технология консервов и пищеконцентратов	Техник-технолог	
		Старший техник-технолог	
